ENDPOINT: [/restrictions?states=] CURRENT TIME:  [2021-03-18 22:45:54.693549] TIME TAKEN: [0:00:00.000050] STATUS: [400]
ENDPOINT: [/restrictions?states=sa,nsw,vic] CURRENT TIME:  [2021-03-18 22:45:54.705882] TIME TAKEN: [0:00:00.000667] STATUS: [200]
ENDPOINT: [/restrictions?] CURRENT TIME:  [2021-03-18 22:45:54.715667] TIME TAKEN: [0:00:00.001547] STATUS: [200]
ENDPOINT: [/restrictions?states=sa] CURRENT TIME:  [2021-03-18 22:45:54.723794] TIME TAKEN: [0:00:00.000327] STATUS: [200]
ENDPOINT: [/articles?start=20000401&end=20211202&location=United%20States&keyterms=case] CURRENT TIME:  [2021-03-18 22:46:06.875259] TIME TAKEN: [0:00:05.331299] STATUS: [200]
ENDPOINT: [/articles?start=20100401&end=20001202] CURRENT TIME:  [2021-03-18 22:46:08.577973] TIME TAKEN: [0:00:00.000413] STATUS: [400]
ENDPOINT: [/articles?start=201054901&end=200013142] CURRENT TIME:  [2021-03-18 22:46:08.601181] TIME TAKEN: [0:00:00.000160] STATUS: [400]
ENDPOINT: [/articles?start=201054901&end=20001102] CURRENT TIME:  [2021-03-18 22:46:08.613781] TIME TAKEN: [0:00:00.000097] STATUS: [400]
ENDPOINT: [/articles?start=20100401&end=20001302] CURRENT TIME:  [2021-03-18 22:46:08.623113] TIME TAKEN: [0:00:00.000122] STATUS: [400]
ENDPOINT: [/articles?start=20000401&end=20211202&keyterms=case] CURRENT TIME:  [2021-03-18 22:46:08.646441] TIME TAKEN: [0:00:00.015696] STATUS: [200]
ENDPOINT: [/articles?start=20000401&end=20211202&keyterms=case,illness] CURRENT TIME:  [2021-03-18 22:46:08.671368] TIME TAKEN: [0:00:00.017196] STATUS: [200]
ENDPOINT: [/articles?start=20000401&end=20211202&location=United%20States] CURRENT TIME:  [2021-03-18 22:46:13.868711] TIME TAKEN: [0:00:05.189241] STATUS: [200]
ENDPOINT: [/articles?] CURRENT TIME:  [2021-03-18 22:46:15.777821] TIME TAKEN: [0:00:00.000042] STATUS: [400]
ENDPOINT: [/articles?start=20105490] CURRENT TIME:  [2021-03-18 22:46:15.785101] TIME TAKEN: [0:00:00.000040] STATUS: [400]
ENDPOINT: [/articles?end=20105490] CURRENT TIME:  [2021-03-18 22:46:15.792620] TIME TAKEN: [0:00:00.000043] STATUS: [400]
ENDPOINT: [/articles?start=20000401&end=20211202] CURRENT TIME:  [2021-03-18 22:46:15.816715] TIME TAKEN: [0:00:00.016233] STATUS: [200]
ENDPOINT: [/articles?start=20000401&end=20211202&location=United%20States&keyterms=case] CURRENT TIME:  [2021-03-19 13:14:49.198496] TIME TAKEN: [0:00:05.460200] STATUS: [200]
ENDPOINT: [/articles?start=20100401&end=20001202] CURRENT TIME:  [2021-03-19 13:14:50.913013] TIME TAKEN: [0:00:00.000088] STATUS: [400]
ENDPOINT: [/articles?start=201054901&end=200013142] CURRENT TIME:  [2021-03-19 13:14:50.933812] TIME TAKEN: [0:00:00.000070] STATUS: [400]
ENDPOINT: [/articles?start=201054901&end=20001102] CURRENT TIME:  [2021-03-19 13:14:50.954863] TIME TAKEN: [0:00:00.000075] STATUS: [400]
ENDPOINT: [/articles?start=20100401&end=20001302] CURRENT TIME:  [2021-03-19 13:14:50.963439] TIME TAKEN: [0:00:00.000115] STATUS: [400]
ENDPOINT: [/articles?start=20000401&end=20211202&keyterms=case] CURRENT TIME:  [2021-03-19 13:14:50.985979] TIME TAKEN: [0:00:00.014912] STATUS: [200]
ENDPOINT: [/articles?start=20000401&end=20211202&keyterms=case,illness] CURRENT TIME:  [2021-03-19 13:14:51.014101] TIME TAKEN: [0:00:00.016734] STATUS: [200]
ENDPOINT: [/articles?start=20000401&end=20211202&location=United%20States] CURRENT TIME:  [2021-03-19 13:14:56.220939] TIME TAKEN: [0:00:05.199120] STATUS: [200]
ENDPOINT: [/articles?] CURRENT TIME:  [2021-03-19 13:14:57.908615] TIME TAKEN: [0:00:00.000074] STATUS: [400]
ENDPOINT: [/articles?start=20105490] CURRENT TIME:  [2021-03-19 13:14:57.918531] TIME TAKEN: [0:00:00.000040] STATUS: [400]
ENDPOINT: [/articles?end=20105490] CURRENT TIME:  [2021-03-19 13:14:57.926305] TIME TAKEN: [0:00:00.000041] STATUS: [400]
ENDPOINT: [/articles?start=20001202&end=20001202] CURRENT TIME:  [2021-03-19 13:14:57.950412] TIME TAKEN: [0:00:00.016186] STATUS: [200]
ENDPOINT: [/articles?start=20000401&end=20211202] CURRENT TIME:  [2021-03-19 13:14:57.974707] TIME TAKEN: [0:00:00.016669] STATUS: [200]
ENDPOINT: [/articles?start=20000401&end=20211202&location=United%20States&keyterms=case] CURRENT TIME:  [2021-03-19 13:16:43.981574] TIME TAKEN: [0:00:05.190973] STATUS: [200]
ENDPOINT: [/articles?start=20100401&end=20001202] CURRENT TIME:  [2021-03-19 13:16:45.675794] TIME TAKEN: [0:00:00.000101] STATUS: [400]
ENDPOINT: [/articles?start=201054901&end=200013142] CURRENT TIME:  [2021-03-19 13:16:45.684232] TIME TAKEN: [0:00:00.000062] STATUS: [400]
ENDPOINT: [/articles?start=201054901&end=20001102] CURRENT TIME:  [2021-03-19 13:16:45.692185] TIME TAKEN: [0:00:00.000065] STATUS: [400]
ENDPOINT: [/articles?start=20100401&end=20001302] CURRENT TIME:  [2021-03-19 13:16:45.700209] TIME TAKEN: [0:00:00.000242] STATUS: [400]
ENDPOINT: [/articles?start=20000401&end=20211202&keyterms=case] CURRENT TIME:  [2021-03-19 13:16:45.724941] TIME TAKEN: [0:00:00.016398] STATUS: [200]
ENDPOINT: [/articles?start=20000401&end=20211202&keyterms=case,illness] CURRENT TIME:  [2021-03-19 13:16:45.750016] TIME TAKEN: [0:00:00.016882] STATUS: [200]
ENDPOINT: [/articles?start=20000401&end=20211202&location=United%20States] CURRENT TIME:  [2021-03-19 13:16:50.947577] TIME TAKEN: [0:00:05.189723] STATUS: [200]
ENDPOINT: [/articles?] CURRENT TIME:  [2021-03-19 13:16:52.611062] TIME TAKEN: [0:00:00.000075] STATUS: [400]
ENDPOINT: [/articles?start=20105490] CURRENT TIME:  [2021-03-19 13:16:52.618401] TIME TAKEN: [0:00:00.000042] STATUS: [400]
ENDPOINT: [/articles?end=20105490] CURRENT TIME:  [2021-03-19 13:16:52.626276] TIME TAKEN: [0:00:00.000042] STATUS: [400]
ENDPOINT: [/articles?start=20000401&end=20211202] CURRENT TIME:  [2021-03-19 13:16:52.648917] TIME TAKEN: [0:00:00.014896] STATUS: [200]
ENDPOINT: [/articles?start=20000401&end=20211202] CURRENT TIME:  [2021-03-19 13:16:52.672585] TIME TAKEN: [0:00:00.015186] STATUS: [200]
